index,sw_ticks,qpc_position,device_position,frames,flags
494,2531091734043,2531091898932,78194400,480,0
495,2531091890033,2531091998553,78194880,480,0
496,2531091890069,2531092098992,78195360,480,0
497,2531092047118,2531092199208,78195840,480,0
498,2531092207154,2531092299611,78196320,480,0
499,2531092207224,2531092399647,78196800,480,0
500,2531092362109,2531092500547,78197280,480,0
501,2531092511716,2531092595799,78197760,480,0
502,2531092511771,2531092701294,78198240,480,0
503,2531092674920,2531092796327,78198720,480,0
504,2531092674983,2531092901773,78199200,480,0
505,2531092828150,2531092996964,78199680,480,0
506,2531092978344,2531093097261,78200160,480,0
507,2531092978406,2531093197706,78200640,480,0
508,2531093135176,2531093297906,78201120,480,0
509,2531093291672,2531093398357,78201600,480,0
510,2531093291749,2531093498729,78202080,480,0
511,2531093446510,2531093599137,78202560,480,0
512,2531093599144,2531093699281,78203040,480,0
513,2531093599803,2531093800286,78203520,480,0
514,2531093751388,2531093895431,78204000,480,0
515,2531093909067,2531094000774,78204480,480,0
516,2531093909112,2531094097261,78204960,480,0
517,2531094064020,2531094201821,78205440,480,0
518,2531094225559,2531094297153,78205920,480,0
519,2531094225641,2531094397921,78206400,480,0
520,2531094379671,2531094497779,78206880,480,0
521,2531094379726,2531094598204,78207360,480,0
522,2531094539400,2531094698927,78207840,480,0
523,2531094698296,2531094801946,78208320,480,0
524,2531094698339,2531094896982,78208800,480,0
525,2531094855014,2531094997709,78209280,480,0
526,2531095014585,2531095098143,78209760,480,0
527,2531095014649,2531095198148,78210240,480,0
528,2531095169783,2531095298436,78210720,480,0
529,2531095337690,2531095398541,78211200,480,0
530,2531095337761,2531095498695,78211680,480,0
531,2531095490953,2531095599559,78212160,480,0
532,2531095491011,2531095700157,78212640,480,0
533,2531095652780,2531095800841,78213120,480,0
534,2531095808241,2531095895892,78213600,480,0
535,2531095808329,2531096001413,78214080,480,0
536,2531095954816,2531096097346,78214560,480,0
537,2531096114417,2531096203881,78215040,480,0
538,2531096114487,2531096298561,78215520,480,0
539,2531096271664,2531096398676,78216000,480,0
540,2531096271736,2531096498893,78216480,480,0
541,2531096428699,2531096600182,78216960,480,0
542,2531096579781,2531096694860,78217440,480,0
543,2531096579854,2531096795337,78217920,480,0
544,2531096738848,2531096901059,78218400,480,0
545,2531096898960,2531096996281,78218880,480,0
546,2531096899019,2531097096646,78219360,480,0
547,2531097055035,2531097202037,78219840,480,0
548,2531097215507,2531097297497,78220320,480,0
549,2531097215581,2531097398730,78220800,480,0
550,2531097383209,2531097498239,78221280,480,0
551,2531097383262,2531097602415,78221760,480,0
552,2531097531167,2531097701379,78222240,480,0
553,2531097685840,2531097801555,78222720,480,0
554,2531097685920,2531097896864,78223200,480,0
555,2531097845047,2531098002709,78223680,480,0
556,2531097991894,2531098101421,78224160,480,0
557,2531097991963,2531098196626,78224640,480,0
558,2531098141164,2531098302561,78225120,480,0
559,2531098295658,2531098397905,78225600,480,0
560,2531098295716,2531098499273,78226080,480,0
561,2531098455645,2531098599812,78226560,480,0
562,2531098607607,2531098698999,78227040,480,0
563,2531098607663,2531098799999,78227520,480,0
564,2531098766714,2531098895081,78228000,480,0
565,2531098926128,2531099000764,78228480,480,0
566,2531098926194,2531099096588,78228960,480,0
567,2531099086181,2531099202844,78229440,480,0
568,2531099086264,2531099297535,78229920,480,0
569,2531099234658,2531099398108,78230400,480,0
570,2531099389852,2531099498938,78230880,480,0
571,2531099389909,2531099598900,78231360,480,0
572,2531099549192,2531099699803,78231840,480,0
573,2531099703362,2531099800272,78232320,480,0
574,2531099703445,2531099895424,78232800,480,0
575,2531099855839,2531100000845,78233280,480,0
576,2531100016660,2531100101059,78233760,480,0
577,2531100016725,2531100195724,78234240,480,0
578,2531100164850,2531100301287,78234720,480,0
579,2531100323790,2531100396701,78235200,480,0
580,2531100323860,2531100501911,78235680,480,0
581,2531100483896,2531100597791,78236160,480,0
582,2531100483956,2531100698359,78236640,480,0
583,2531100638579,2531100799089,78237120,480,0
584,2531100812257,2531100899325,78237600,480,0
585,2531100812342,2531100999588,78238080,480,0
586,2531100953273,2531101095283,78238560,480,0
587,2531101102142,2531101201282,78239040,480,0
588,2531101102207,2531101301401,78239520,480,0
589,2531101256764,2531101396687,78240000,480,0
590,2531101428008,2531101502073,78240480,480,0
591,2531101428078,2531101598313,78240960,480,0
592,2531101564632,2531101698734,78241440,480,0
593,2531101724488,2531101800258,78241920,480,0
594,2531101724557,2531101895570,78242400,480,0
595,2531101878753,2531102001415,78242880,480,0
596,2531101878835,2531102096999,78243360,480,0
597,2531102032192,2531102202664,78243840,480,0
598,2531102185679,2531102298033,78244320,480,0
599,2531102185767,2531102398273,78244800,480,0
600,2531102337984,2531102498838,78245280,480,0
601,2531102491046,2531102599189,78245760,480,0
602,2531102491097,2531102699724,78246240,480,0
603,2531102653671,2531102800228,78246720,480,0
604,2531102813120,2531102895280,78247200,480,0
605,2531102813173,2531103001126,78247680,480,0
606,2531102964516,2531103097766,78248160,480,0
607,2531103114157,2531103202423,78248640,480,0
608,2531103114232,2531103297864,78249120,480,0
609,2531103277393,2531103398715,78249600,480,0
610,2531103277499,2531103493581,78250080,480,0
611,2531103483947,2531103600176,78250560,480,0
612,2531103483983,2531103695033,78251040,480,0
613,2531103600391,2531103795784,78251520,480,0
614,2531103751834,2531103901704,78252000,480,0
615,2531103909899,2531103996542,78252480,480,0
616,2531103909978,2531104097218,78252960,480,0
617,2531104059687,2531104197905,78253440,480,0
618,2531104216101,2531104298079,78253920,480,0
619,2531104216329,2531104398364,78254400,480,0
620,2531104372070,2531104498603,78254880,480,0
