index,sw_ticks,qpc_position,device_position,frames,flags,phase
408,2586817519899,2586817697943,345678240,480,0,0
409,2586817685689,2586817793211,345678720,480,0,0
410,2586817685752,2586817893364,345679200,480,0,0
411,2586817840841,2586817999076,345679680,480,0,0
412,2586817992110,2586818094344,345680160,480,0,0
413,2586817992162,2586818194676,345680640,480,0,0
414,2586818147154,2586818300214,345681120,480,0,0
415,2586818302484,2586818401202,345681600,480,0,0
416,2586818302656,2586818495957,345682080,480,0,0
417,2586818458051,2586818601438,345682560,480,0,0
418,2586818608955,2586818696954,345683040,480,0,0
419,2586818608989,2586818802500,345683520,480,0,0
420,2586818758149,2586818897578,345684000,480,0,0
421,2586818919022,2586818998367,345684480,480,0,0
422,2586818919062,2586819093255,345684960,480,0,0
423,2586819075625,2586819198824,345685440,480,0,0
424,2586819075682,2586819293932,345685920,480,0,0
425,2586819230840,2586819394229,345686400,480,0,0
426,2586819391966,2586819499742,345686880,480,0,0
427,2586819392126,2586819595037,345687360,480,0,0
428,2586819553520,2586819700523,345687840,480,0,0
429,2586819707957,2586819795795,345688320,480,0,0
430,2586819708013,2586819901491,345688800,480,0,0
431,2586819887032,2586819997632,345689280,480,0,0
432,2586819887086,2586820103059,345689760,480,0,0
433,2586820018170,2586820198556,345690240,480,0,0
434,2586820185232,2586820298875,345690720,480,0,0
435,2586820185268,2586820394464,345691200,480,0,0
436,2586820320783,2586820500380,345691680,480,0,0
437,2586820476810,2586820595830,345692160,480,0,0
438,2586820476850,2586820701677,345692640,480,0,0
439,2586820630009,2586820797296,345693120,480,0,0
440,2586820808041,2586820897798,345693600,480,0,0
441,2586820808106,2586820998433,345694080,480,0,0
442,2586820947775,2586821093922,345694560,480,0,0
443,2586821101363,2586821199395,345695040,480,0,0
444,2586821101402,2586821295239,345695520,480,0,0
445,2586821256632,2586821395173,345696000,480,0,0
446,2586821419308,2586821501719,345696480,480,0,0
447,2586821419361,2586821597016,345696960,480,0,0
448,2586821572248,2586821702596,345697440,480,0,0
449,2586821572301,2586821797867,345697920,480,0,0
450,2586821724824,2586821893303,345698400,480,0,0
451,2586821885232,2586821998699,345698880,480,0,0
452,2586821885288,2586822093887,345699360,480,0,0
453,2586822042077,2586822199410,345699840,480,0,0
454,2586822191603,2586822294677,345700320,480,0,0
455,2586822191649,2586822400181,345700800,480,0,0
456,2586822347466,2586822495582,345701280,480,0,0
457,2586822503874,2586822600852,345701760,480,0,0
458,2586822503915,2586822696735,345702240,480,0,0
459,2586822658224,2586822801772,345702720,480,0,0
460,2586822815504,2586822901996,345703200,480,0,0
461,2586822815532,2586822997554,345703680,480,0,0
462,2586822969878,2586823102747,345704160,480,0,0
463,2586822969929,2586823198057,345704640,480,0,0
464,2586823129641,2586823293480,345705120,480,0,0
465,2586823285804,2586823393565,345705600,480,0,0
466,2586823285844,2586823499045,345706080,480,0,0
467,2586823436958,2586823594404,345706560,480,0,0
468,2586823598027,2586823699816,345707040,480,0,0
469,2586823598075,2586823795020,345707520,480,0,0
470,2586823750998,2586823900730,345708000,480,0,0
471,2586823911854,2586824000884,345708480,480,0,0
472,2586823911896,2586824096182,345708960,480,0,0
473,2586824069203,2586824201639,345709440,480,0,0
474,2586824069262,2586824297088,345709920,480,0,0
475,2586824219254,2586824397454,345710400,480,0,0
476,2586824374107,2586824498334,345710880,480,0,0
477,2586824374143,2586824593276,345711360,480,0,0
478,2586824530638,2586824698816,345711840,480,0,0
